Lat,Long,ville
6.133333,-5.933333,Gagnoa
7.41251,-7.55383,Man
8.047883,-2.807864,BondouKou
9.416667,-5.616667,Korhogo
6.650000,-4.200000,Bongouanou
5.633333,-4.083333,Azaguié
8.060000,-6.190000,Mankono
6.580000,-8.420000,Toulepleu
6.733333,-3.483333,Abengourou
4.42295,-7.3528,Tabou
6.383333,-5.416667,Oumé
7.160850,-5.234985,Tiébissou
5.833333,-5.366667,Divo
5.260458,-3.964388,Port-Bouet
7.296114,-4.013361,Ouéllé
